gene_id,gene_symbol,biotype,truth_log2FC_for_instructor
Gene0632,Gene0632,protein_coding,0.0
Gene0633,Gene0633,protein_coding,0.0
Gene0634,Gene0634,protein_coding,0.0
Gene0635,Gene0635,protein_coding,0.0
Gene0636,Gene0636,protein_coding,0.0
Gene0637,Gene0637,protein_coding,0.0
Gene0638,Gene0638,protein_coding,0.0
Gene0639,Gene0639,protein_coding,0.0
Gene0640,Gene0640,protein_coding,0.0
Gene0641,Gene0641,protein_coding,0.0
Gene0642,Gene0642,protein_coding,0.0
Gene0643,Gene0643,protein_coding,0.0
Gene0644,Gene0644,protein_coding,0.0
Gene0645,Gene0645,protein_coding,0.0
Gene0646,Gene0646,protein_coding,0.0
Gene0647,Gene0647,protein_coding,0.0
Gene0648,Gene0648,protein_coding,0.0
Gene0649,Gene0649,protein_coding,0.0
Gene0650,Gene0650,protein_coding,0.0
Gene0651,Gene0651,protein_coding,0.0
Gene0652,Gene0652,protein_coding,0.0
Gene0653,Gene0653,protein_coding,0.0
Gene0654,Gene0654,protein_coding,0.0
Gene0655,Gene0655,protein_coding,0.0
Gene0656,Gene0656,protein_coding,0.0
Gene0657,Gene0657,protein_coding,0.0
Gene0658,Gene0658,protein_coding,0.0
Gene0659,Gene0659,protein_coding,0.0
Gene0660,Gene0660,protein_coding,0.0
Gene0661,Gene0661,protein_coding,0.0
Gene0662,Gene0662,protein_coding,0.0
Gene0663,Gene0663,protein_coding,0.0
Gene0664,Gene0664,protein_coding,0.0
Gene0665,Gene0665,protein_coding,0.0
Gene0666,Gene0666,protein_coding,0.0
Gene0667,Gene0667,protein_coding,0.0
Gene0668,Gene0668,protein_coding,0.0
Gene0669,Gene0669,protein_coding,0.0
Gene0670,Gene0670,protein_coding,0.0
Gene0671,Gene0671,protein_coding,0.0
Gene0672,Gene0672,protein_coding,0.0
Gene0673,Gene0673,protein_coding,0.0
Gene0674,Gene0674,protein_coding,0.0
Gene0675,Gene0675,protein_coding,0.0
Gene0676,Gene0676,protein_coding,0.0
Gene0677,Gene0677,protein_coding,0.0
Gene0678,Gene0678,protein_coding,0.0
Gene0679,Gene0679,protein_coding,0.0
Gene0680,Gene0680,protein_coding,0.0
Gene0681,Gene0681,protein_coding,0.0
Gene0682,Gene0682,protein_coding,0.0
Gene0683,Gene0683,protein_coding,0.0
Gene0684,Gene0684,protein_coding,0.0
Gene0685,Gene0685,protein_coding,0.0
Gene0686,Gene0686,protein_coding,0.0
Gene0687,Gene0687,protein_coding,0.0
Gene0688,Gene0688,protein_coding,0.0
Gene0689,Gene0689,protein_coding,0.0
Gene0690,Gene0690,protein_coding,0.0
Gene0691,Gene0691,protein_coding,0.0
Gene0692,Gene0692,protein_coding,0.0
Gene0693,Gene0693,protein_coding,0.0
Gene0694,Gene0694,protein_coding,0.0
Gene0695,Gene0695,protein_coding,0.0
Gene0696,Gene0696,protein_coding,0.0
Gene0697,Gene0697,protein_coding,0.0
Gene0698,Gene0698,protein_coding,0.0
Gene0699,Gene0699,protein_coding,0.0
Gene0700,Gene0700,protein_coding,0.0
Gene0701,Gene0701,protein_coding,0.0
Gene0702,Gene0702,protein_coding,0.0
Gene0703,Gene0703,protein_coding,0.0
Gene0704,Gene0704,protein_coding,0.0
Gene0705,Gene0705,protein_coding,0.0
Gene0706,Gene0706,protein_coding,0.0
Gene0707,Gene0707,protein_coding,0.0
Gene0708,Gene0708,protein_coding,0.0
Gene0709,Gene0709,protein_coding,0.0
Gene0710,Gene0710,protein_coding,0.0
Gene0711,Gene0711,protein_coding,0.0
Gene0712,Gene0712,protein_coding,0.0
Gene0713,Gene0713,protein_coding,0.0
Gene0714,Gene0714,protein_coding,0.0
Gene0715,Gene0715,protein_coding,0.0
Gene0716,Gene0716,protein_coding,0.0
Gene0717,Gene0717,protein_coding,0.0
Gene0718,Gene0718,protein_coding,0.0
Gene0719,Gene0719,protein_coding,0.0
Gene0720,Gene0720,protein_coding,0.0
Gene0721,Gene0721,protein_coding,0.0
Gene0722,Gene0722,protein_coding,0.0
Gene0723,Gene0723,protein_coding,0.0
Gene0724,Gene0724,protein_coding,0.0
Gene0725,Gene0725,protein_coding,0.0
Gene0726,Gene0726,protein_coding,0.0
Gene0727,Gene0727,protein_coding,0.0
Gene0728,Gene0728,protein_coding,0.0
Gene0729,Gene0729,protein_coding,0.0
Gene0730,Gene0730,protein_coding,0.0
Gene0731,Gene0731,protein_coding,0.0
Gene0732,Gene0732,protein_coding,0.0
Gene0733,Gene0733,protein_coding,0.0
Gene0734,Gene0734,protein_coding,0.0
Gene0735,Gene0735,protein_coding,0.0
Gene0736,Gene0736,protein_coding,0.0
Gene0737,Gene0737,protein_coding,0.0
Gene0738,Gene0738,protein_coding,0.0
Gene0739,Gene0739,protein_coding,0.0
Gene0740,Gene0740,protein_coding,0.0
Gene0741,Gene0741,protein_coding,0.0
Gene0742,Gene0742,protein_coding,0.0
Gene0743,Gene0743,protein_coding,0.0
Gene0744,Gene0744,protein_coding,0.0
Gene0745,Gene0745,protein_coding,0.0
Gene0746,Gene0746,protein_coding,0.0
Gene0747,Gene0747,protein_coding,0.0
Gene0748,Gene0748,protein_coding,0.0
Gene0749,Gene0749,protein_coding,0.0
Gene0750,Gene0750,protein_coding,0.0
Gene0751,Gene0751,protein_coding,0.0
Gene0752,Gene0752,protein_coding,0.0
Gene0753,Gene0753,protein_coding,0.0
Gene0754,Gene0754,protein_coding,0.0
Gene0755,Gene0755,protein_coding,0.0
Gene0756,Gene0756,protein_coding,0.0
Gene0757,Gene0757,protein_coding,0.0
Gene0758,Gene0758,protein_coding,0.0
Gene0759,Gene0759,protein_coding,0.0
Gene0760,Gene0760,protein_coding,0.0
Gene0761,Gene0761,protein_coding,0.0
Gene0762,Gene0762,protein_coding,0.0
Gene0763,Gene0763,protein_coding,0.0
Gene0764,Gene0764,protein_coding,0.0
Gene0765,Gene0765,protein_coding,0.0
Gene0766,Gene0766,protein_coding,0.0
Gene0767,Gene0767,protein_coding,0.0
Gene0768,Gene0768,protein_coding,0.0
Gene0769,Gene0769,protein_coding,0.0
Gene0770,Gene0770,protein_coding,0.0
Gene0771,Gene0771,protein_coding,0.0
Gene0772,Gene0772,protein_coding,0.0
Gene0773,Gene0773,protein_coding,0.0
Gene0774,Gene0774,protein_coding,0.0
Gene0775,Gene0775,protein_coding,0.0
Gene0776,Gene0776,protein_coding,0.0
Gene0777,Gene0777,protein_coding,0.0
Gene0778,Gene0778,protein_coding,0.0
Gene0779,Gene0779,protein_coding,0.0
Gene0780,Gene0780,protein_coding,0.0
Gene0781,Gene0781,protein_coding,0.0
Gene0782,Gene0782,protein_coding,0.0
Gene0783,Gene0783,protein_coding,0.0
Gene0784,Gene0784,protein_coding,0.0
Gene0785,Gene0785,protein_coding,0.0
Gene0786,Gene0786,protein_coding,0.0
Gene0787,Gene0787,protein_coding,0.0
Gene0788,Gene0788,protein_coding,0.0
Gene0789,Gene0789,protein_coding,0.0
Gene0790,Gene0790,protein_coding,0.0
Gene0791,Gene0791,protein_coding,0.0
Gene0792,Gene0792,protein_coding,0.0
Gene0793,Gene0793,protein_coding,0.0
Gene0794,Gene0794,protein_coding,0.0
Gene0795,Gene0795,protein_coding,0.0
Gene0796,Gene0796,protein_coding,0.0
Gene0797,Gene0797,protein_coding,0.0
Gene0798,Gene0798,protein_coding,0.0
Gene0799,Gene0799,protein_coding,0.0
Gene0800,Gene0800,protein_coding,0.0
Gene0801,Gene0801,protein_coding,0.0
Gene0802,Gene0802,protein_coding,0.0
Gene0803,Gene0803,protein_coding,0.0
Gene0804,Gene0804,protein_coding,0.0
Gene0805,Gene0805,protein_coding,0.0
Gene0806,Gene0806,protein_coding,0.0
Gene0807,Gene0807,protein_coding,0.0
Gene0808,Gene0808,protein_coding,0.0
Gene0809,Gene0809,protein_coding,0.0
Gene0810,Gene0810,protein_coding,0.0
Gene0811,Gene0811,protein_coding,0.0
Gene0812,Gene0812,protein_coding,0.0
Gene0813,Gene0813,protein_coding,0.0
Gene0814,Gene0814,protein_coding,0.0
Gene0815,Gene0815,protein_coding,0.0
Gene0816,Gene0816,protein_coding,0.0
Gene0817,Gene0817,protein_coding,0.0
Gene0818,Gene0818,protein_coding,0.0
Gene0819,Gene0819,protein_coding,0.0
Gene0820,Gene0820,protein_coding,0.0
Gene0821,Gene0821,protein_coding,0.0
Gene0822,Gene0822,protein_coding,0.0
Gene0823,Gene0823,protein_coding,0.0
Gene0824,Gene0824,protein_coding,0.0
Gene0825,Gene0825,protein_coding,0.0
Gene0826,Gene0826,protein_coding,0.0
Gene0827,Gene0827,protein_coding,0.0
Gene0828,Gene0828,protein_coding,0.0
Gene0829,Gene0829,protein_coding,0.0
Gene0830,Gene0830,protein_coding,0.0
Gene0831,Gene0831,protein_coding,0.0
Gene0832,Gene0832,protein_coding,0.0
Gene0833,Gene0833,protein_coding,0.0
Gene0834,Gene0834,protein_coding,0.0
Gene0835,Gene0835,protein_coding,0.0
Gene0836,Gene0836,protein_coding,0.0
Gene0837,Gene0837,protein_coding,0.0
Gene0838,Gene0838,protein_coding,0.0
Gene0839,Gene0839,protein_coding,0.0
Gene0840,Gene0840,protein_coding,0.0
Gene0841,Gene0841,protein_coding,0.0
Gene0842,Gene0842,protein_coding,0.0
Gene0843,Gene0843,protein_coding,0.0
Gene0844,Gene0844,protein_coding,0.0
Gene0845,Gene0845,protein_coding,0.0
Gene0846,Gene0846,protein_coding,0.0
Gene0847,Gene0847,protein_coding,0.0
Gene0848,Gene0848,protein_coding,0.0
Gene0849,Gene0849,protein_coding,0.0
Gene0850,Gene0850,protein_coding,0.0
Gene0851,Gene0851,protein_coding,0.0
Gene0852,Gene0852,protein_coding,0.0
Gene0853,Gene0853,protein_coding,0.0
Gene0854,Gene0854,protein_coding,0.0
Gene0855,Gene0855,protein_coding,0.0
Gene0856,Gene0856,protein_coding,0.0
Gene0857,Gene0857,protein_coding,0.0
Gene0858,Gene0858,protein_coding,0.0
Gene0859,Gene0859,protein_coding,0.0
Gene0860,Gene0860,protein_coding,0.0
Gene0861,Gene0861,protein_coding,0.0
Gene0862,Gene0862,protein_coding,0.0
Gene0863,Gene0863,protein_coding,0.0
Gene0864,Gene0864,protein_coding,0.0
Gene0865,Gene0865,protein_coding,0.0
Gene0866,Gene0866,protein_coding,0.0
Gene0867,Gene0867,protein_coding,0.0
Gene0868,Gene0868,protein_coding,0.0
Gene0869,Gene0869,protein_coding,0.0
Gene0870,Gene0870,protein_coding,0.0
Gene0871,Gene0871,protein_coding,0.0
Gene0872,Gene0872,protein_coding,0.0
Gene0873,Gene0873,protein_coding,0.0
Gene0874,Gene0874,protein_coding,0.0
Gene0875,Gene0875,protein_coding,0.0
Gene0876,Gene0876,protein_coding,0.0
Gene0877,Gene0877,protein_coding,0.0
Gene0878,Gene0878,protein_coding,0.0
Gene0879,Gene0879,protein_coding,0.0
Gene0880,Gene0880,protein_coding,0.0
Gene0881,Gene0881,protein_coding,0.0
Gene0882,Gene0882,protein_coding,0.0
Gene0883,Gene0883,protein_coding,0.0
Gene0884,Gene0884,protein_coding,0.0
Gene0885,Gene0885,protein_coding,0.0
Gene0886,Gene0886,protein_coding,0.0
Gene0887,Gene0887,protein_coding,0.0
Gene0888,Gene0888,protein_coding,0.0
Gene0889,Gene0889,protein_coding,0.0
Gene0890,Gene0890,protein_coding,0.0
Gene0891,Gene0891,protein_coding,0.0
Gene0892,Gene0892,protein_coding,0.0
Gene0893,Gene0893,protein_coding,0.0
Gene0894,Gene0894,protein_coding,0.0
Gene0895,Gene0895,protein_coding,0.0
Gene0896,Gene0896,protein_coding,0.0
Gene0897,Gene0897,protein_coding,0.0
Gene0898,Gene0898,protein_coding,0.0
Gene0899,Gene0899,protein_coding,0.0
Gene0900,Gene0900,protein_coding,0.0
Gene0901,Gene0901,protein_coding,0.0
Gene0902,Gene0902,protein_coding,0.0
Gene0903,Gene0903,protein_coding,0.0
Gene0904,Gene0904,protein_coding,0.0
Gene0905,Gene0905,protein_coding,0.0
Gene0906,Gene0906,protein_coding,0.0
Gene0907,Gene0907,protein_coding,0.0
Gene0908,Gene0908,protein_coding,0.0
Gene0909,Gene0909,protein_coding,0.0
Gene0910,Gene0910,protein_coding,0.0
Gene0911,Gene0911,protein_coding,0.0
Gene0912,Gene0912,protein_coding,0.0
Gene0913,Gene0913,protein_coding,0.0
Gene0914,Gene0914,protein_coding,0.0
Gene0915,Gene0915,protein_coding,0.0
Gene0916,Gene0916,protein_coding,0.0
Gene0917,Gene0917,protein_coding,0.0
Gene0918,Gene0918,protein_coding,0.0
Gene0919,Gene0919,protein_coding,0.0
Gene0920,Gene0920,protein_coding,0.0
Gene0921,Gene0921,protein_coding,0.0
Gene0922,Gene0922,protein_coding,0.0
Gene0923,Gene0923,protein_coding,0.0
Gene0924,Gene0924,protein_coding,0.0
Gene0925,Gene0925,protein_coding,0.0
Gene0926,Gene0926,protein_coding,0.0
Gene0927,Gene0927,protein_coding,0.0
Gene0928,Gene0928,protein_coding,0.0
Gene0929,Gene0929,protein_coding,0.0
Gene0930,Gene0930,protein_coding,0.0
Gene0931,Gene0931,protein_coding,0.0
Gene0932,Gene0932,protein_coding,0.0
Gene0933,Gene0933,protein_coding,0.0
Gene0934,Gene0934,protein_coding,0.0
Gene0935,Gene0935,protein_coding,0.0
Gene0936,Gene0936,protein_coding,0.0
Gene0937,Gene0937,protein_coding,0.0
Gene0938,Gene0938,protein_coding,0.0
Gene0939,Gene0939,protein_coding,0.0
Gene0940,Gene0940,protein_coding,0.0
Gene0941,Gene0941,protein_coding,0.0
Gene0942,Gene0942,protein_coding,0.0
Gene0943,Gene0943,protein_coding,0.0
Gene0944,Gene0944,protein_coding,0.0
Gene0945,Gene0945,protein_coding,0.0
Gene0946,Gene0946,protein_coding,0.0
Gene0947,Gene0947,protein_coding,0.0
Gene0948,Gene0948,protein_coding,0.0
Gene0949,Gene0949,protein_coding,0.0
Gene0950,Gene0950,protein_coding,0.0
Gene0951,Gene0951,protein_coding,0.0
Gene0952,Gene0952,protein_coding,0.0
Gene0953,Gene0953,protein_coding,0.0
Gene0954,Gene0954,protein_coding,0.0
Gene0955,Gene0955,protein_coding,0.0
Gene0956,Gene0956,protein_coding,0.0
Gene0957,Gene0957,protein_coding,0.0
Gene0958,Gene0958,protein_coding,0.0
Gene0959,Gene0959,protein_coding,0.0
Gene0960,Gene0960,protein_coding,0.0
Gene0961,Gene0961,protein_coding,0.0
Gene0962,Gene0962,protein_coding,0.0
Gene0963,Gene0963,protein_coding,0.0
Gene0964,Gene0964,protein_coding,0.0
Gene0965,Gene0965,protein_coding,0.0
Gene0966,Gene0966,protein_coding,0.0
Gene0967,Gene0967,protein_coding,0.0
Gene0968,Gene0968,protein_coding,0.0
Gene0969,Gene0969,protein_coding,0.0
Gene0970,Gene0970,protein_coding,0.0
Gene0971,Gene0971,protein_coding,0.0
Gene0972,Gene0972,protein_coding,0.0
Gene0973,Gene0973,protein_coding,0.0
Gene0974,Gene0974,protein_coding,0.0
Gene0975,Gene0975,protein_coding,0.0
Gene0976,Gene0976,protein_coding,0.0
Gene0977,Gene0977,protein_coding,0.0
Gene0978,Gene0978,protein_coding,0.0
Gene0979,Gene0979,protein_coding,0.0
Gene0980,Gene0980,protein_coding,0.0
Gene0981,Gene0981,protein_coding,0.0
Gene0982,Gene0982,protein_coding,0.0
Gene0983,Gene0983,protein_coding,0.0
Gene0984,Gene0984,protein_coding,0.0
Gene0985,Gene0985,protein_coding,0.0
Gene0986,Gene0986,protein_coding,0.0
Gene0987,Gene0987,protein_coding,0.0
Gene0988,Gene0988,protein_coding,0.0
Gene0989,Gene0989,protein_coding,0.0
Gene0990,Gene0990,protein_coding,0.0
Gene0991,Gene0991,protein_coding,0.0
Gene0992,Gene0992,protein_coding,0.0
Gene0993,Gene0993,protein_coding,0.0
Gene0994,Gene0994,protein_coding,0.0
Gene0995,Gene0995,protein_coding,0.0
Gene0996,Gene0996,protein_coding,0.0
Gene0997,Gene0997,protein_coding,0.0
Gene0998,Gene0998,protein_coding,0.0
Gene0999,Gene0999,protein_coding,0.0
Gene1000,Gene1000,protein_coding,0.0
