,CA1,CA2,TA1,TA2,CB1,CB2,TB1,TB2,CC1,CC2,TC1,TC2
Gene0463,135,87,172,86,90,107,65,156,109,139,62,39
Gene0464,42,51,36,30,38,25,45,57,49,40,22,42
Gene0465,83,77,71,43,63,43,66,52,42,56,81,39
Gene0466,848,710,800,501,793,656,899,659,465,488,821,524
Gene0467,11,36,11,15,30,8,19,21,3,16,18,24
Gene0468,80,130,190,59,85,76,91,70,91,131,83,166
Gene0469,392,478,385,312,416,425,431,612,414,299,257,390
Gene0470,92,219,118,185,169,124,228,193,119,157,119,235
Gene0471,827,685,388,619,1432,794,713,742,888,602,552,492
Gene0472,40,46,45,40,23,23,20,54,32,34,48,17
Gene0473,140,205,76,164,330,181,206,63,112,141,166,194
Gene0474,29,20,30,19,16,33,40,29,9,12,11,9
Gene0475,169,143,100,118,123,165,116,172,190,94,225,118
Gene0476,15,10,20,27,17,20,19,19,22,14,25,14
Gene0477,143,244,163,215,282,428,369,245,142,223,172,42
Gene0478,32,115,105,46,28,79,83,23,32,137,101,64
Gene0479,153,253,287,284,275,141,144,155,47,145,350,159
Gene0480,36,110,114,52,83,105,100,60,83,85,68,100
Gene0481,72,140,135,41,98,67,164,76,75,80,110,83
Gene0482,345,324,265,151,267,285,272,228,147,280,287,304
Gene0483,60,42,58,84,113,59,72,100,53,87,64,49
Gene0484,121,74,69,129,72,42,75,168,100,124,164,76
Gene0485,122,104,208,97,175,216,181,213,124,90,178,121
Gene0486,74,56,75,35,31,80,83,71,33,45,35,40
Gene0487,3,27,22,16,13,31,27,13,32,6,14,29
Gene0488,40,51,37,97,111,59,42,69,53,59,98,115
Gene0489,126,56,131,103,162,108,81,91,109,86,106,111
Gene0490,21,32,9,27,38,28,29,17,19,7,3,18
Gene0491,13,39,25,50,31,17,20,9,35,25,37,31
Gene0492,126,96,122,104,137,109,164,88,84,106,51,54
Gene0493,70,68,53,49,30,56,42,49,26,41,37,141
Gene0494,124,48,33,101,120,75,113,60,71,97,142,58
Gene0495,15,8,20,26,31,20,28,26,22,6,13,12
Gene0496,64,49,78,69,71,74,94,74,55,66,63,63
Gene0497,121,76,136,62,71,106,83,106,58,79,73,42
Gene0498,37,36,29,14,32,19,37,24,28,30,32,36
Gene0499,45,44,50,63,57,47,62,81,72,86,102,143
Gene0500,108,70,136,163,147,156,93,137,54,74,115,75
Gene0501,259,301,378,300,255,261,302,347,273,281,216,215
Gene0502,482,1105,869,361,730,778,581,726,381,341,538,1025
Gene0503,48,39,38,13,40,39,37,38,25,28,43,38
Gene0504,72,113,172,122,151,65,82,117,120,196,147,124
Gene0505,48,27,19,65,27,37,30,54,38,19,24,40
Gene0506,104,97,92,35,78,114,159,57,54,87,49,34
Gene0507,127,139,114,83,139,55,84,124,138,129,156,76
Gene0508,107,198,109,21,128,128,202,417,273,342,182,233
Gene0509,37,27,40,55,10,41,38,24,52,23,24,20
Gene0510,40,28,28,46,25,58,39,30,25,9,37,23
Gene0511,252,511,419,349,427,464,525,460,405,313,331,446
Gene0512,313,195,173,191,138,161,184,169,156,114,131,102
Gene0513,114,35,97,68,84,63,81,62,83,30,63,68
Gene0514,320,149,97,172,128,68,60,137,72,47,195,230
Gene0515,27,11,15,17,20,30,35,12,10,52,12,11
Gene0516,63,50,37,55,34,46,27,40,41,53,71,66
Gene0517,39,27,28,26,75,30,34,36,22,51,79,85
Gene0518,34,35,13,44,40,19,23,44,34,16,69,21
Gene0519,123,122,95,101,107,122,103,151,76,108,103,107
Gene0520,17,13,65,29,45,21,24,41,27,44,20,17
Gene0521,32,70,86,27,62,34,89,65,69,39,23,75
Gene0522,63,32,79,68,85,61,36,44,52,55,44,66
Gene0523,15,39,29,86,45,64,34,58,40,28,62,26
Gene0524,450,409,360,646,615,402,717,606,462,402,354,396
Gene0525,44,13,37,43,23,27,29,25,19,16,13,25
Gene0526,144,60,101,92,82,63,90,137,95,69,104,71
Gene0527,55,46,59,47,132,126,65,113,48,46,113,35
Gene0528,25,31,29,22,22,25,17,24,23,13,14,22
Gene0529,134,67,268,197,155,192,250,187,127,140,209,113
Gene0530,230,230,341,28,161,375,190,471,146,224,149,383
Gene0531,58,99,59,36,67,38,76,82,83,42,29,36
Gene0532,68,69,47,45,43,99,47,55,62,73,51,39
Gene0533,29,15,39,40,41,49,30,49,38,52,30,24
Gene0534,137,92,67,63,171,114,85,157,152,51,64,83
Gene0535,472,715,364,381,308,302,393,576,304,473,469,474
Gene0536,113,72,91,33,57,108,82,134,37,49,78,66
Gene0537,295,147,252,175,208,304,182,213,261,271,279,171
Gene0538,132,138,202,144,131,131,113,233,116,143,161,181
Gene0539,58,45,151,69,159,148,122,111,146,128,46,65
Gene0540,233,134,273,182,350,194,268,289,92,150,135,188
Gene0541,94,57,130,84,114,93,64,52,134,102,97,85
Gene0542,14,15,19,13,19,15,17,10,14,7,21,7
Gene0543,166,143,174,122,200,143,207,162,145,276,113,172
Gene0544,136,92,95,134,110,120,122,96,84,90,34,145
Gene0545,39,11,20,42,43,30,20,31,23,17,31,16
Gene0546,32,29,29,50,57,36,13,59,17,31,18,36
Gene0547,343,377,302,335,257,281,662,239,250,351,200,374
Gene0548,46,19,24,30,36,20,47,34,35,27,29,36
Gene0549,224,260,166,150,384,272,245,212,120,165,143,293
Gene0550,7,26,30,33,36,24,32,22,39,16,23,42
Gene0551,69,39,53,37,21,54,43,47,55,47,30,19
Gene0552,39,21,45,28,39,66,17,69,57,38,48,35
Gene0553,32,31,41,12,32,12,27,36,31,64,23,23
Gene0554,146,43,123,149,221,158,202,136,72,97,101,161
Gene0555,6,5,6,9,5,13,9,10,3,16,11,12
Gene0556,76,19,56,144,154,210,180,78,56,88,47,120
Gene0557,85,101,36,126,101,111,76,105,53,133,98,105
Gene0558,27,21,46,32,29,30,41,40,33,53,28,32
Gene0559,651,700,909,404,359,1043,883,711,821,417,546,716
Gene0560,117,71,143,113,143,137,205,138,126,118,154,163
Gene0561,46,124,56,45,107,54,48,31,64,61,64,64
Gene0562,113,54,34,94,81,139,128,93,66,57,149,67
Gene0563,55,87,67,49,111,92,59,72,62,92,55,94
Gene0564,214,108,303,194,220,290,151,315,156,87,460,183
Gene0565,35,40,71,57,47,25,41,25,46,33,26,28
Gene0566,630,375,293,170,614,390,498,404,360,135,258,275
Gene0567,4,7,6,1,17,3,8,9,9,8,10,9
Gene0568,621,471,792,396,661,826,1045,779,777,662,439,518
Gene0569,67,58,51,50,48,59,68,38,92,72,57,56
Gene0570,305,226,136,166,261,184,243,172,247,208,248,193
Gene0571,137,136,96,174,107,106,145,128,50,58,97,183
Gene0572,71,109,59,83,116,129,116,81,56,94,104,111
Gene0573,10,20,19,13,27,4,6,7,11,31,16,19
Gene0574,134,101,64,191,173,113,78,190,121,117,215,96
Gene0575,348,294,652,397,400,413,439,460,564,379,810,517
Gene0576,55,20,37,46,34,8,58,39,39,12,20,31
Gene0577,95,69,116,63,151,127,75,239,139,93,86,107
Gene0578,12,7,14,8,20,6,8,12,9,12,9,10
Gene0579,7,12,19,16,9,14,12,18,9,7,13,32
Gene0580,18,26,19,24,43,45,33,37,11,17,26,22
Gene0581,17,6,8,22,14,12,11,12,17,10,3,17
Gene0582,11,10,20,21,38,25,66,41,35,19,36,24
Gene0583,3,15,4,4,19,8,15,10,13,2,1,3
Gene0584,14,9,32,27,29,23,12,19,7,18,9,17
Gene0585,23,57,30,29,40,60,26,25,40,22,18,39
Gene0586,16,51,9,50,34,31,24,23,46,31,38,28
Gene0587,43,32,84,55,44,147,53,43,47,53,33,31
Gene0588,31,28,22,34,39,23,52,39,34,43,31,20
Gene0589,65,101,144,131,79,130,112,123,99,149,90,157
Gene0590,49,82,29,49,49,62,41,56,99,35,50,56
Gene0591,45,39,56,75,44,41,59,46,42,36,39,18
Gene0592,67,75,56,41,64,73,74,5,47,40,44,34
Gene0593,42,93,94,47,53,81,166,26,65,61,49,100
Gene0594,100,427,244,242,187,243,151,399,95,216,87,166
Gene0595,121,103,248,143,203,192,144,226,212,192,92,146
Gene0596,8,2,9,5,7,10,19,8,4,1,8,2
Gene0597,24,43,53,33,50,53,21,47,35,41,26,46
Gene0598,79,90,77,55,100,66,64,95,96,51,69,120
Gene0599,71,149,97,56,161,90,144,130,95,58,107,127
Gene0600,63,80,39,75,70,43,109,111,81,52,52,135
Gene0601,199,121,137,160,204,147,203,241,130,113,173,128
Gene0602,34,50,36,42,57,40,55,37,32,17,48,38
Gene0603,20,68,39,103,37,40,90,54,19,31,44,31
Gene0604,8,8,10,23,3,10,11,8,13,1,5,2
Gene0605,149,245,79,144,112,49,189,223,130,233,70,79
Gene0606,418,512,404,553,540,753,611,526,544,566,423,922
Gene0607,344,183,307,178,237,213,281,269,165,137,158,270
Gene0608,45,32,42,43,26,43,44,52,33,32,39,29
Gene0609,405,305,415,247,411,900,900,503,428,391,636,620
Gene0610,347,186,254,161,331,179,315,288,124,195,178,242
Gene0611,377,183,291,189,279,424,372,398,206,324,160,215
Gene0612,10,10,26,55,61,44,28,20,48,40,3,51
Gene0613,39,31,48,32,84,41,58,86,36,47,38,66
Gene0614,73,72,91,84,83,106,47,115,41,89,68,73
Gene0615,83,79,131,65,145,44,167,95,125,52,69,101
Gene0616,175,155,133,178,179,145,185,126,180,98,115,87
Gene0617,105,94,72,90,92,98,99,141,73,61,63,84
Gene0618,79,87,145,102,164,106,167,96,141,129,63,101
Gene0619,25,40,31,39,39,24,29,55,41,28,22,15
Gene0620,101,65,62,81,76,57,65,98,111,69,52,80
Gene0621,16,17,19,21,24,24,34,19,23,20,21,18
Gene0622,27,7,36,17,25,26,22,36,35,25,35,14
Gene0623,84,64,54,40,92,24,74,79,71,31,53,115
Gene0624,186,104,55,83,74,125,123,44,71,122,95,56
Gene0625,155,222,388,260,239,347,156,248,164,268,144,291
Gene0626,24,72,95,18,30,51,20,71,79,45,18,59
Gene0627,270,207,419,456,226,498,123,295,154,192,433,110
Gene0628,33,27,67,62,78,33,64,67,37,79,37,44
Gene0629,127,148,101,56,118,105,89,161,94,111,121,86
Gene0630,59,51,55,55,51,49,36,50,48,72,61,63
Gene0631,43,59,43,51,86,25,48,57,25,29,16,22
Gene0632,223,229,218,155,205,179,426,369,196,137,182,82
Gene0633,2662,945,2387,2158,935,1167,1688,1857,1783,1427,1676,1727
Gene0634,22,17,26,35,36,32,24,19,29,30,30,21
Gene0635,187,131,139,205,156,251,137,256,181,231,202,213
Gene0636,91,83,57,82,51,84,128,101,52,98,59,88
Gene0637,117,103,111,122,108,198,148,122,130,143,103,103
Gene0638,235,248,219,294,379,403,259,262,319,288,354,268
Gene0639,74,115,203,52,161,106,154,94,119,96,135,210
Gene0640,365,286,506,253,439,541,318,119,427,251,248,216
Gene0641,221,222,233,259,218,166,378,143,149,140,137,168
Gene0642,33,87,106,63,78,76,90,87,59,49,87,47
Gene0643,16,39,20,21,23,32,28,31,30,13,23,18
Gene0644,34,44,61,54,58,56,77,50,58,56,57,25
Gene0645,117,106,111,65,117,94,76,132,68,69,105,60
Gene0646,35,62,49,26,32,69,46,69,41,55,65,23
Gene0647,45,45,43,59,29,48,46,50,53,45,80,54
Gene0648,47,50,77,29,49,22,106,55,22,21,39,33
Gene0649,104,56,103,47,186,71,55,74,113,95,67,94
Gene0650,26,9,17,19,13,6,15,10,21,13,10,17
Gene0651,111,121,210,111,62,108,101,173,68,96,131,68
Gene0652,317,550,124,213,255,340,335,357,350,264,166,217
Gene0653,55,58,124,83,108,124,158,131,55,101,113,94
Gene0654,83,172,125,257,179,167,355,201,290,201,208,146
Gene0655,25,14,13,17,26,11,7,10,9,13,28,16
Gene0656,30,34,57,53,49,46,88,60,38,44,66,46
Gene0657,561,641,708,495,513,770,400,465,668,498,531,346
Gene0658,3,8,10,7,9,4,5,13,4,14,5,4
Gene0659,87,68,119,188,154,108,214,279,254,273,47,250
Gene0660,74,79,52,54,80,40,86,44,29,25,71,28
Gene0661,19,4,10,12,11,8,17,5,27,24,7,17
Gene0662,117,105,137,91,97,240,232,145,103,105,65,98
Gene0663,33,32,33,34,50,46,27,21,30,28,55,22
Gene0664,21,15,39,16,15,21,17,22,42,22,5,29
Gene0665,30,19,39,32,20,34,24,45,42,8,42,35
Gene0666,279,292,205,307,274,252,215,396,334,232,233,333
Gene0667,254,298,170,185,380,404,257,600,246,225,165,87
Gene0668,39,38,26,23,29,36,60,83,74,43,50,61
Gene0669,51,89,119,126,62,185,32,61,94,113,103,87
Gene0670,68,105,174,76,217,218,202,166,134,102,191,147
Gene0671,22,15,37,34,44,38,14,25,27,16,32,58
Gene0672,19,24,42,48,28,32,22,17,27,14,22,25
Gene0673,6,5,2,6,3,14,17,16,14,13,10,3
Gene0674,29,4,10,13,22,37,20,14,18,33,28,16
Gene0675,47,19,64,25,14,8,27,40,40,29,5,16
Gene0676,24,28,22,19,19,19,26,27,12,30,14,17
Gene0677,76,77,65,65,93,79,42,78,99,22,42,89
Gene0678,236,229,131,175,145,92,135,264,144,86,143,132
Gene0679,18,29,20,34,58,24,35,49,33,50,19,22
Gene0680,24,12,15,16,24,11,15,5,19,4,14,7
Gene0681,53,56,44,92,145,99,95,148,57,86,53,78
Gene0682,21,19,28,15,29,28,52,40,37,34,26,23
Gene0683,77,135,138,53,193,184,62,76,94,42,61,60
Gene0684,73,66,46,28,62,15,46,36,68,50,43,118
Gene0685,240,203,178,167,270,281,128,328,222,378,247,171
Gene0686,8,9,19,25,22,12,10,17,17,16,19,17
Gene0687,38,36,45,40,50,61,76,36,26,67,54,31
Gene0688,109,91,71,121,112,112,119,131,147,165,82,104
Gene0689,53,34,43,45,70,34,50,52,57,33,55,68
Gene0690,760,628,628,297,380,1200,456,527,618,299,524,628
Gene0691,164,212,96,252,414,78,144,221,236,144,189,340
Gene0692,16,23,12,17,17,37,26,27,9,17,23,19
Gene0693,592,740,699,711,422,494,742,283,408,450,565,956
Gene0694,39,59,35,28,45,64,21,75,42,41,47,35
Gene0695,43,41,35,28,57,50,51,38,68,40,43,19
Gene0696,119,58,103,85,141,162,97,99,127,118,83,43
Gene0697,233,184,196,328,554,469,659,402,351,333,669,429
Gene0698,45,42,32,58,46,36,64,58,45,41,44,31
Gene0699,47,43,65,36,31,41,30,43,44,29,22,34
Gene0700,68,65,48,27,52,24,35,67,24,73,47,69
Gene0701,32,25,25,34,21,10,25,32,40,20,11,12
Gene0702,46,24,59,53,44,72,40,35,33,45,25,63
Gene0703,34,113,77,52,50,77,76,91,39,82,53,38
Gene0704,83,49,71,63,63,73,104,54,35,66,51,72
Gene0705,15,21,65,62,60,83,56,53,77,46,69,65
Gene0706,190,104,240,175,185,253,131,217,116,88,175,108
Gene0707,26,16,22,54,65,33,71,51,42,37,38,43
Gene0708,237,197,181,146,81,190,131,187,94,122,201,69
Gene0709,106,122,127,114,99,135,146,104,74,114,52,93
Gene0710,138,218,191,215,229,214,162,240,139,76,113,209
Gene0711,20,5,17,13,6,7,8,9,7,7,9,8
Gene0712,26,17,23,45,13,24,34,19,25,17,32,28
Gene0713,79,57,99,112,97,103,102,71,70,118,46,80
Gene0714,149,64,77,93,126,83,80,111,103,93,43,121
Gene0715,36,19,32,26,41,74,28,13,12,17,35,30
Gene0716,80,80,99,59,100,118,81,73,36,68,37,66
Gene0717,44,45,59,26,50,44,20,56,26,39,42,36
Gene0718,5,33,18,44,19,53,38,24,6,18,28,16
Gene0719,58,24,34,56,93,31,71,86,26,48,39,34
Gene0720,72,47,143,72,96,84,172,92,64,65,120,54
Gene0721,327,281,202,279,322,285,337,293,255,288,263,277
Gene0722,35,188,201,61,232,169,133,279,245,136,115,213
Gene0723,49,6,16,23,3,17,20,60,13,25,48,49
Gene0724,255,382,397,293,505,800,384,193,310,91,367,180
Gene0725,22,24,49,94,32,22,56,53,24,27,25,30
Gene0726,104,86,35,60,104,67,64,66,63,30,60,56
Gene0727,47,24,33,27,46,28,23,34,25,15,35,19
Gene0728,23,36,22,66,64,149,40,65,24,39,48,40
Gene0729,212,68,132,113,200,278,188,107,151,196,188,111
Gene0730,21,42,66,142,70,71,50,64,40,75,21,57
Gene0731,33,34,19,28,31,33,27,22,17,42,29,17
Gene0732,36,17,39,51,21,47,43,22,37,53,51,25
Gene0733,61,76,72,106,139,45,80,63,165,103,45,40
Gene0734,35,24,61,41,82,64,41,26,43,34,59,36
Gene0735,15,11,15,18,13,17,14,11,12,29,23,14
Gene0736,591,652,490,609,546,620,584,681,350,508,348,604
Gene0737,109,58,55,35,175,126,113,93,35,54,81,67
Gene0738,49,69,114,80,127,180,160,131,112,108,92,85
Gene0739,11,6,8,6,14,6,12,6,7,9,4,8
Gene0740,659,276,469,906,417,288,596,518,274,477,102,521
Gene0741,10,19,29,26,9,25,22,70,19,29,25,24
Gene0742,75,70,78,61,60,46,61,52,57,58,40,56
Gene0743,316,264,344,267,464,326,277,336,297,317,230,484
Gene0744,322,241,351,348,358,246,273,279,241,163,107,286
Gene0745,141,81,253,175,166,183,154,121,113,95,112,108
Gene0746,33,38,17,27,47,32,37,26,54,46,32,18
Gene0747,26,18,6,11,21,18,23,16,14,20,13,5
Gene0748,33,17,23,43,33,40,60,21,42,40,47,62
Gene0749,183,194,158,167,222,183,319,102,161,113,158,113
Gene0750,320,498,396,351,428,132,137,217,414,326,425,323
Gene0751,332,106,24,79,176,123,120,152,98,167,97,76
Gene0752,36,25,11,23,30,27,32,45,27,13,11,16
Gene0753,44,32,66,44,31,59,54,91,47,46,43,44
Gene0754,428,435,599,608,351,992,910,761,362,713,942,627
Gene0755,19,41,31,59,26,76,33,67,14,51,87,39
Gene0756,349,137,248,209,250,220,130,227,155,146,193,143
Gene0757,139,93,60,48,126,67,61,44,80,68,42,99
Gene0758,94,87,140,153,60,110,127,122,111,93,81,36
Gene0759,138,146,129,109,213,171,132,130,137,135,156,163
Gene0760,61,70,85,76,78,77,146,60,31,90,61,103
Gene0761,404,295,381,260,362,395,358,521,281,295,480,122
Gene0762,102,95,132,82,86,139,106,87,85,99,90,73
Gene0763,18,15,22,17,19,30,9,34,27,20,20,22
Gene0764,75,20,36,77,112,71,108,46,24,51,65,38
Gene0765,79,186,283,166,196,187,335,250,206,224,157,176
Gene0766,601,458,504,575,524,417,604,706,814,362,554,603
Gene0767,175,96,350,197,217,146,235,202,256,186,136,200
Gene0768,85,142,101,104,119,110,98,83,98,79,90,97
Gene0769,93,92,56,63,92,92,109,83,45,61,146,85
Gene0770,31,16,16,10,13,31,15,30,13,12,11,16
Gene0771,14,8,6,15,19,15,6,24,17,21,9,5
Gene0772,292,171,494,188,262,280,494,185,240,156,101,243
Gene0773,66,73,67,45,43,63,73,79,32,42,41,29
Gene0774,44,59,72,60,56,72,62,24,85,35,40,40
Gene0775,158,89,84,113,252,302,158,164,121,242,73,328
Gene0776,37,59,74,39,64,59,50,36,40,38,68,46
Gene0777,88,140,54,67,63,75,104,143,36,70,75,99
Gene0778,26,28,72,37,70,35,97,58,37,37,72,48
Gene0779,132,426,262,258,487,252,298,318,207,255,240,197
Gene0780,271,240,200,183,292,147,196,229,227,233,277,141
Gene0781,91,228,165,248,127,274,73,155,148,90,72,115
Gene0782,93,127,91,89,38,74,210,124,141,223,71,135
Gene0783,17,14,6,34,25,19,12,21,27,24,12,9
Gene0784,83,54,40,111,90,68,76,93,79,68,43,80
Gene0785,47,36,57,39,39,38,57,35,52,41,43,44
Gene0786,6,5,4,0,11,12,8,5,3,4,5,4
Gene0787,45,61,101,97,83,99,63,84,58,55,52,45
Gene0788,175,130,169,222,215,195,128,226,243,239,85,163
Gene0789,429,309,410,568,479,674,316,469,370,356,342,542
Gene0790,118,124,74,104,106,126,152,126,110,73,72,141
Gene0791,32,70,41,3,33,22,42,43,19,25,26,17
Gene0792,21,21,45,41,16,66,79,34,32,26,20,44
Gene0793,13,24,41,35,20,42,35,49,34,43,38,41
Gene0794,39,38,65,94,91,112,96,53,69,69,70,65
Gene0795,26,34,35,27,30,23,61,39,35,17,30,54
Gene0796,72,74,57,73,96,93,75,56,52,68,62,74
Gene0797,32,32,21,18,18,18,23,19,34,20,15,17
Gene0798,31,51,79,69,42,47,45,23,30,25,24,19
Gene0799,32,19,20,19,33,52,27,31,28,13,15,15
Gene0800,60,29,39,61,65,81,22,68,51,33,48,20
Gene0801,12,23,19,17,21,15,25,21,12,15,13,7
Gene0802,49,65,36,36,55,68,55,25,29,49,36,42
Gene0803,54,59,32,41,30,51,74,38,55,21,35,41
Gene0804,60,37,73,68,50,29,41,28,37,23,22,55
Gene0805,51,87,43,56,39,42,62,57,89,90,86,38
Gene0806,167,232,150,274,231,229,74,238,209,414,146,203
Gene0807,61,70,47,78,104,121,50,189,72,78,35,111
Gene0808,89,125,140,96,210,189,121,111,135,155,107,117
Gene0809,33,45,33,26,23,22,39,33,17,31,27,45
Gene0810,259,242,226,236,230,181,225,123,129,210,216,216
Gene0811,53,36,54,25,43,38,28,45,19,67,55,50
Gene0812,194,480,390,324,428,527,430,348,520,240,452,303
Gene0813,35,20,22,53,28,21,21,25,20,43,35,34
Gene0814,87,151,160,49,170,128,84,35,99,150,119,163
Gene0815,712,755,238,368,476,1117,539,520,592,349,576,438
Gene0816,119,59,61,210,73,88,119,73,42,115,177,143
Gene0817,9,11,13,9,21,12,12,15,14,4,15,17
Gene0818,36,35,19,49,27,40,33,36,38,44,29,44
Gene0819,32,26,32,14,18,10,23,8,27,11,16,18
Gene0820,6,5,14,3,7,14,8,3,2,14,13,10
Gene0821,283,784,317,446,428,623,661,233,614,567,366,929
Gene0822,86,25,49,39,48,117,64,36,61,74,37,57
Gene0823,77,38,33,41,51,42,40,91,55,56,35,74
Gene0824,59,122,119,94,72,126,70,122,75,56,124,88
Gene0825,63,85,102,60,87,126,72,114,107,60,51,61
Gene0826,68,111,27,53,105,63,101,64,54,58,28,70
Gene0827,142,204,45,66,108,155,102,89,50,86,45,71
Gene0828,29,46,33,38,46,36,62,52,23,35,34,64
Gene0829,42,40,60,42,54,55,28,76,45,24,38,52
Gene0830,212,147,446,229,152,408,255,450,241,140,187,227
Gene0831,9,10,9,13,9,18,1,8,10,5,8,19
Gene0832,25,15,23,17,18,36,11,2,16,22,16,15
Gene0833,95,134,82,120,89,140,98,133,104,57,122,98
Gene0834,76,84,55,80,41,69,49,74,43,46,48,49
Gene0835,50,51,55,60,87,81,57,62,50,57,53,57
Gene0836,16,11,7,16,11,39,21,26,8,9,25,13
Gene0837,26,32,22,50,46,39,83,48,18,25,35,13
Gene0838,135,138,108,168,219,248,282,248,131,127,103,233
Gene0839,35,30,21,11,39,18,15,45,30,23,33,52
Gene0840,18,16,16,17,38,36,33,24,21,7,33,35
Gene0841,123,202,97,248,194,89,379,154,98,284,116,128
Gene0842,56,25,60,50,45,33,27,37,42,42,80,22
Gene0843,80,140,125,123,137,114,127,119,99,113,98,58
Gene0844,74,46,34,92,70,41,57,62,18,21,28,34
Gene0845,349,294,440,485,310,590,376,344,313,185,311,192
Gene0846,30,27,34,29,24,33,27,26,20,21,28,21
Gene0847,98,30,146,85,123,75,121,87,83,65,90,71
Gene0848,27,53,76,75,30,27,65,37,38,24,39,55
Gene0849,54,33,24,50,52,56,33,30,31,25,43,52
Gene0850,77,146,47,117,100,59,65,132,73,54,42,75
Gene0851,28,30,23,25,14,30,29,38,31,30,31,26
Gene0852,117,143,123,80,98,176,153,155,91,117,154,113
Gene0853,107,71,118,90,108,113,154,127,110,120,64,88
Gene0854,53,101,56,70,81,101,86,84,73,64,54,147
Gene0855,26,49,56,107,39,76,90,67,91,111,94,42
Gene0856,33,262,416,374,208,378,339,228,289,272,223,204
Gene0857,144,95,118,130,112,269,288,64,123,117,140,84
Gene0858,66,57,92,48,69,91,123,69,66,119,115,59
Gene0859,96,135,83,137,90,188,133,71,117,64,52,80
Gene0860,36,57,63,29,43,27,74,39,21,31,15,34
Gene0861,84,28,51,40,72,52,68,40,53,36,40,61
Gene0862,1840,1300,899,1417,1357,1115,911,1553,975,1380,657,1098
Gene0863,127,146,43,114,60,103,47,138,101,77,98,45
Gene0864,756,901,701,670,721,488,691,778,661,627,994,903
Gene0865,24,31,22,25,52,19,22,23,39,33,29,34
Gene0866,81,25,67,34,87,46,24,33,28,52,40,34
Gene0867,47,20,26,35,61,69,66,54,47,56,43,52
Gene0868,163,75,59,93,99,74,87,84,64,40,59,120
Gene0869,42,104,69,33,80,108,28,49,60,12,55,50
Gene0870,177,332,363,304,397,316,298,276,256,366,238,307
Gene0871,314,215,148,186,230,236,182,197,200,244,189,94
Gene0872,254,384,173,501,324,445,184,360,326,193,239,244
Gene0873,164,220,170,147,79,144,321,156,153,83,124,111
Gene0874,71,44,40,46,63,74,66,65,45,39,64,43
Gene0875,55,38,65,37,32,60,38,86,28,35,49,26
Gene0876,361,349,180,390,291,310,314,314,255,243,238,282
Gene0877,73,99,72,112,79,66,59,37,31,94,57,53
Gene0878,121,89,120,74,142,70,81,107,80,156,96,107
Gene0879,100,162,162,149,200,192,159,210,98,53,234,161
Gene0880,149,136,80,182,96,111,125,91,81,99,129,28
Gene0881,52,154,114,130,123,75,151,106,156,71,103,61
Gene0882,56,51,24,33,16,59,21,63,20,36,30,30
Gene0883,163,252,265,197,231,55,230,178,256,261,152,199
Gene0884,121,315,268,135,245,149,247,289,229,119,152,207
Gene0885,120,119,240,143,289,217,342,304,90,200,220,216
Gene0886,158,344,399,387,354,272,510,249,612,268,403,443
Gene0887,99,147,122,149,217,284,146,234,105,151,60,156
Gene0888,90,102,86,36,87,49,130,88,37,30,46,19
Gene0889,88,62,152,57,101,123,117,58,87,12,89,71
Gene0890,17,53,38,33,33,45,31,37,25,29,18,31
Gene0891,69,25,29,34,17,43,70,18,36,42,25,27
Gene0892,22,55,56,31,36,88,38,42,51,40,20,14
Gene0893,18,10,14,27,34,10,19,23,24,17,14,8
Gene0894,61,183,72,78,137,44,100,69,75,64,51,71
Gene0895,9,26,17,22,51,17,27,46,16,15,25,18
Gene0896,79,133,114,126,106,55,76,82,63,70,91,76
Gene0897,13,25,15,9,22,21,24,22,7,22,18,11
Gene0898,108,77,73,71,136,269,100,211,141,65,90,184
Gene0899,57,85,82,53,78,65,109,62,131,46,65,44
Gene0900,70,83,23,47,63,57,71,56,58,49,62,71
Gene0901,47,45,64,28,38,94,68,60,46,32,35,26
Gene0902,78,18,38,32,32,52,51,25,17,7,39,17
Gene0903,56,59,45,19,38,26,27,50,40,31,29,25
Gene0904,75,62,158,95,91,134,115,127,63,112,184,76
Gene0905,76,107,129,126,171,128,68,190,61,234,83,115
Gene0906,265,393,505,419,202,391,161,508,391,370,301,228
Gene0907,20,33,28,49,15,19,37,20,9,21,25,19
Gene0908,97,143,276,132,90,195,296,285,80,40,87,77
Gene0909,82,164,41,95,139,91,122,57,156,65,87,93
Gene0910,4,10,12,4,13,13,29,9,15,11,13,12
Gene0911,18,28,53,74,84,54,88,35,48,39,37,59
Gene0912,45,92,63,113,84,86,113,93,69,47,137,77
Gene0913,4,8,6,3,5,2,10,7,6,6,2,1
Gene0914,38,39,50,43,63,48,58,41,49,58,61,72
Gene0915,20,17,23,23,47,9,13,16,10,11,27,16
Gene0916,228,55,161,142,185,249,90,115,169,39,147,56
Gene0917,114,87,97,157,112,46,128,123,103,100,46,153
Gene0918,420,297,254,252,308,296,458,427,353,326,264,279
Gene0919,167,187,88,89,104,68,198,124,36,99,182,99
Gene0920,116,178,123,192,97,339,80,110,131,91,128,146
Gene0921,222,262,253,388,183,191,559,228,313,133,161,353
Gene0922,151,223,165,171,269,309,198,203,158,280,224,261
Gene0923,45,76,89,71,61,52,90,140,74,104,64,136
Gene0924,96,78,117,82,85,233,248,75,85,49,79,139
Gene0925,49,61,60,72,58,78,95,62,102,53,34,33
Gene0926,73,40,63,46,57,36,66,69,29,48,39,58
