"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02","K_XYL_F_0001_01","K_XYL_F_0001_02","K_XYL_F_0002_01","K_XYL_F_0002_02","K_XYL_F_0003_01","K_XYL_F_0003_02","K_XYL_F_0004_01","K_XYL_F_0004_02","K_XYL_F_0005_01","K_XYL_F_0005_02","K_XYL_F_0007_01","K_XYL_F_0007_02","K_XYL_F_0008_01","K_XYL_F_0008_02","K_XYL_F_0009_01","K_XYL_F_0009_02","K_XYL_F_0011_01","K_XYL_F_0011_02","K_XYL_F_0012_01","K_XYL_F_0012_02","K_XYL_F_0013_01","K_XYL_F_0013_02","K_XYL_F_0017_01","K_XYL_F_0017_02","K_XYL_F_0018_01","K_XYL_F_0018_02","K_XYL_F_0022_01","K_XYL_F_0022_02","K_XYL_F_0028_01","K_XYL_F_0028_02","K_XYL_F_0030_02","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0033_02","K_XYL_F_0035_01","K_XYL_F_0035_02","K_XYL_F_0036_01","K_XYL_F_0036_02","K_XYL_F_0037_01","K_XYL_F_0037_02","K_XYL_F_0038_01","K_XYL_F_0038_02","K_XYL_F_0039_01","K_XYL_F_0039_02","K_XYL_F_0042_01","K_XYL_F_0042_02","K_XYL_F_0043_01","K_XYL_F_0043_02","K_XYL_F_0044_01","K_XYL_F_0044_02","K_XYL_F_0045_01","K_XYL_F_0045_02","K_XYL_F_0046_01","K_XYL_F_0046_02","K_XYL_F_0047_01","K_XYL_F_0047_02","K_XYL_F_0048_01","K_XYL_F_0048_02"
"s__reuteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,29,0,43,0,0,0,0,0,37,0,0,0,128,0,41,0,52,0,52,0,106,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,33,35,49,0,53,34,0,30,0,76,0,0,0,0,0,0,78,97
"s__uniformis",0,0,119,58,241,0,182,90,147,0,0,0,120,90,0,0,0,0,0,0,109,0,114,27,92,0,237,164,472,90,79,109,359,0,0,0,317,0,36,0,0,61,134,0,91,312,27,0,23,0,0,79,0,69,0,0,0,287,207,102,0,28,122,0,71,0,0,24,86,40,0,0,0,0,83,0,0,0,0,0,192,0,156,0,36,0,0,74,161,23,120,52,0,0,170,153,0,0,0,0,124,126,147,145,183,0,93,89,88,0,0,0,0,0,0,0,77,0,152,0,76,0,98,107,105,118,178,92,0,173
"s__stercorea",0,0,0,0,0,0,0,0,0,0,0,0,329,141,0,10,3,0,357,164,0,0,84,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,132,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__caccae",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,70,0,0,134,0,126,0,0,0,0,0,0,0,0,0,9,86,0,0,0,0,157,64,0,0,0,0,0,0,0,24,263,109,42,0,0,0,60,150,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,132,0,34,82,0,0,0,0,0,0,0,0,0,0,0,0,101,0,72,32,21,0,0,0,0,0,0,0,0,0,124,0,0,0,28,0,33,0,0,0,0,0
"s__formicigenerans",61,0,90,107,150,150,114,146,90,179,61,123,0,89,166,102,0,13,0,0,66,0,134,0,103,39,132,189,23,0,27,153,153,67,81,0,0,0,0,0,0,148,80,138,0,0,0,124,0,0,0,156,192,100,0,138,0,0,98,99,39,115,0,0,0,0,157,4,154,135,0,0,0,0,40,0,0,0,0,0,0,0,65,407,94,66,0,101,79,0,195,54,203,0,0,0,0,0,0,80,0,0,0,0,92,119,180,192,125,137,0,0,0,0,0,0,157,82,73,101,160,101,155,0,92,0,115,114,0,79
"s__obeum",0,0,0,0,0,71,0,0,81,44,0,0,67,48,0,0,0,0,0,0,0,0,47,0,0,0,0,83,0,0,0,0,0,0,0,0,137,0,0,136,0,0,0,0,0,61,0,0,0,0,0,0,37,81,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,150,536,0,0,131,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,137,148,0,0,0,94,0,0,0,0,0,0,66,78,0,18,0,0,0,0,43,0,0,78
"s__torques",0,98,0,73,0,0,127,0,0,0,0,101,0,88,0,0,0,0,0,0,93,0,0,0,0,0,111,88,71,90,56,94,0,0,0,0,93,98,0,0,58,0,0,56,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
"s__eutactus",0,0,0,0,0,0,0,0,95,0,0,0,112,110,0,0,0,0,0,0,0,0,77,0,96,0,129,84,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,107,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,102,0,0,0,0,0
"s__rhizosphaerae",0,69,0,0,0,0,0,74,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,11,0,76,82,14,0,12,0,11,0,0,0,0,0,0,0,54,61,0,0,0,17,0,0,0,0,0,59,0,0,0,0,0,55,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,21,74,10,10,0,0,0,0,0,0,0,0,28,0,8,47,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,68,0,0,0
"s__parvula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,71,76,0,0,0,0,56,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,2,98,0,91,0,0,0,0,30,22,0,73,0,24,66,0,43,156,79,78,0,0,0,87,181,0,0,0,0,103,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,125,73,41,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,95,0,54,0,29,0,0,0,0,0,0,0,0,0,0,0
"s__palleronii",0,104,0,0,0,23,0,0,0,0,0,0,0,0,0,158,0,103,0,0,0,0,32,0,0,0,32,136,123,0,0,103,172,0,0,0,84,0,0,0,0,182,196,18,20,163,150,0,26,0,0,0,160,0,0,0,0,0,155,0,0,17,0,0,15,0,95,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,176,0,222,0,0,0,0,149,0,137,0,0,0,0,0,15,0,0,142,14,150,95,0,18,0,0,0,22,0,0,0,0,0,0,0,0,0,0,11,159,0,0,0
"s__mucosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,102,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,71,0,77,67,245,0,0,0,0,0,0,0,0,0,99,33,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,131,57,0,0,0,0,0,66,0,0,473,322,0,0,0,0,0,0,43,137,0,141,0,0,0,0
"s__putredinis",0,0,348,44,299,0,40,0,111,123,0,0,119,106,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,117,0,472,0,0,0,0,0,53,120,113,394,0,0,0,0,0,0,0,0,0,0,0,134,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,127,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,180,0,55,0,0,0,0,0
"s__citroniae",116,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,70,0,0,0,0,0,139,127,0,0,89,0,0,90,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,107,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,145,0,0,0,0,53,0,0,0,0,123,176,93,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
"s__breve",0,187,0,46,0,23,0,14,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,28,0,8,0,29,0,0,0,0,0,0,34,0,5,0,28,0,14,0,0,0,0,0,0,0,40,0,112,0,71,0,0,0,0,0,0,0,0,0,0,31,54,0,20,72,0,48,0,19,23,78,0,0,12,14,0,7,12,10,17,20,0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,38,23,0,0,0,0,24,0,23,0,41,0,19,0,0,0,0,0,0,0
"s__bifidum",0,0,0,0,0,0,0,0,0,69,0,0,0,45,0,82,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,29,0,0,0,0,0,0,0,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,3,42,26,0,0,0,0,0,0,113,117,103,0,0,0,0,70,79,0,0,0,0,0,0,0,0,40,51,0,0,0,0,0,0,0,50,0,126,0,0,0,92,0,0,0,0,27,0,0,0,0,0,96,111,0,0,0,0,0,0,0,0,0,0,0,0
"s__colinum",0,0,0,0,0,0,0,0,0,40,46,0,0,0,0,0,11,61,0,0,0,0,0,0,0,0,0,0,55,58,0,0,0,31,0,0,87,0,0,0,0,0,0,0,29,81,0,0,122,0,93,0,0,0,0,0,0,0,30,0,0,23,103,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,54,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,95,0,0,0,0,98,59,0,0
